payment_terms_code,payment_terms_name,due_days,discount_days,discount_pct,description
IMMEDIATE,Immediate Payment,0,0,0.00,Due upon receipt
NET10,Net 10,10,0,0.00,Payment due within 10 days
NET15,Net 15,15,0,0.00,Payment due within 15 days
NET30,Net 30,30,0,0.00,Payment due within 30 days
NET45,Net 45,45,0,0.00,Payment due within 45 days
NET60,Net 60,60,0,0.00,Payment due within 60 days
NET90,Net 90,90,0,0.00,Payment due within 90 days
2_10_NET30,2/10 Net 30,30,10,2.00,"2% discount if paid within 10 days, otherwise net 30"
1_10_NET30,1/10 Net 30,30,10,1.00,"1% discount if paid within 10 days, otherwise net 30"
1_10_NET60,1/10 Net 60,60,10,1.00,"1% discount if paid within 10 days, otherwise net 60"
EOM,End of Month,0,0,0.00,Due at end of current month
NET30_EOM,Net 30 End of Month,30,0,0.00,Net 30 from end of month
