vendor_id,vendor_name,vendor_type,tax_id,country_code,currency_code,payment_terms_code,payment_method_code,vendor_status,remit_address_line1,remit_city,remit_state,remit_zip,credit_limit,is_1099_vendor,created_date,inactivated_date,primary_contact_name,primary_contact_email
V0001,Rock Ventures Group,SUPPLIER,66-9468772,US,USD,2_10_NET30,BILLPAY,ACTIVE,8039 Second Ave,Springfield,MO,30861,137003.86,False,2020-10-09,,Sarah King,s.king@rock.com
V0002,Maple Staffing LLC,SUPPLIER,46-4934149,US,USD,NET15,WIRE,ON_HOLD,1152 Park Dr,Springfield,IN,51904,83907.02,False,2022-04-18,,Barbara Wilson,b.wilson@maple.com
V0003,North Systems LP,CONTRACTOR,17-4470105,US,USD,NET30,CHECK,ACTIVE,5863 Elm Dr,Springfield,MO,86556,221346.41,True,2022-04-08,,Donald Smith,d.smith@north.com
V0004,Pulse Labs PLC,UTILITY,TIN335602191,NO,NOK,NET30,ACH,ON_HOLD,5607 Second Dr,City-NO,,,9094.03,False,2023-06-13,,Mary Harris,m.harris@pulse.com
V0005,First Systems Corp.,CONTRACTOR,TIN768143326,HK,HKD,NET30,CHECK,ACTIVE,2323 Commerce Dr,City-HK,,,231385.77,True,2018-04-22,,Jennifer Ramirez,j.ramirez@first.com
V0006,Global Consulting Co.,SUPPLIER,58-6492066,US,USD,NET90,ZELLE,ACTIVE,7805 Main Way,Columbus,GA,52840,146345.74,False,2022-09-23,,Thomas Garcia,t.garcia@global.com
V0007,Century Power Ltd.,UTILITY,93-2151225,US,USD,NET30,ACH,ACTIVE,2596 Oak Ave,Seattle,WA,14067,19244.18,False,2020-03-27,,Mary Flores,m.flores@century.com
V0008,Royal Equipment Ltd.,CONTRACTOR,69-5299055,US,USD,NET60,CHECK,ACTIVE,1871 First St,Bellevue,WA,31992,242746.95,True,2019-04-15,,David Martin,d.martin@royal.com
V0009,Mountain Properties LP,CONTRACTOR,35-2275009,US,USD,NET45,CHECK,ACTIVE,5788 First Dr,Springfield,OH,23356,220058.65,True,2019-05-11,,Andrew Williams,a.williams@mountain.com
V0010,Westside Products LLC,SUPPLIER,74-6724909,US,USD,NET90,WIRE,ACTIVE,2985 Second Way,Springfield,AL,74251,480785.91,False,2023-02-27,,Barbara Ramirez,b.ramirez@westside.com
V0011,Vision Manufacturing PLC,SUPPLIER,TIN599154414,DK,DKK,NET30_EOM,PAYPAL,ACTIVE,4669 Park Ave,City-DK,,,300312.56,False,2021-08-13,,Jessica Garcia,j.garcia@vision.com
V0012,Rock Properties Group,SUPPLIER,TIN130816384,NZ,NZD,NET60,BILLPAY,INACTIVE,4681 First Blvd,City-NZ,,,99101.53,False,2020-05-18,2022-11-10,Thomas Perez,t.perez@rock.com
V0013,Sun Analytics Ltd.,SUPPLIER,TIN191926217,KR,KRW,NET30_EOM,VCARD,ACTIVE,7442 Commerce St,City-KR,,,209149.78,False,2020-09-11,,Donald Young,d.young@sun.com
V0014,Crown Materials Ltd.,SUPPLIER,TIN534222401,SE,SEK,NET45,VCARD,ACTIVE,8798 Elm Dr,City-SE,,,335340.41,False,2022-02-20,,Donald Scott,d.scott@crown.com
V0015,Summit Partners Group,SUPPLIER,99-8612582,US,USD,NET10,VCARD,ACTIVE,3133 Oak Ave,Springfield,IN,42951,363429.32,False,2021-07-16,,Linda Wright,l.wright@summit.com
V0016,Sapphire Manufacturing Co.,SUPPLIER,TIN207939087,IL,ILS,NET45,VCARD,INACTIVE,2173 Elm St,City-IL,,,121466.75,False,2020-01-05,2022-03-14,James Wright,j.wright@sapphire.com
V0017,Century Materials Corp.,SUPPLIER,91-9235577,US,USD,2_10_NET30,CREDIT_CARD,ACTIVE,4236 Commerce Dr,Denver,CO,85243,244569.96,False,2021-10-27,,Elizabeth Brown,e.brown@century.com
