invoice_id,vendor_id,invoice_number,invoice_date,received_date,due_date,gl_account_id,cost_center_id,currency_code,invoice_amount,invoice_amount_usd,fx_rate,tax_amount,discount_amount,payment_terms_code,invoice_status,description,po_number,approved_by,approved_date,created_at,updated_at
INV000001,V0176,V0176-65349,2022-11-11,2022-11-11,2022-12-11,6001,CC501,USD,2199.15,2162.88,0.983505,178.69,0.00,NET30,VOID,Marketing services - November campaign,PO37125,c.smith@company.com,2022-11-17,2022-11-11 11:05:30,2022-11-17 08:19:50
INV000002,V0154,V0154-87643,2023-06-27,2023-06-27,2023-07-27,6012,CC500,JPY,13773.59,91.13,0.006616,943.08,0.00,NET30,OVERDUE,Professional services - Q2 engagement,PO70956,e.garcia@company.com,2023-06-29,2023-06-27 11:36:03,2023-06-29 09:48:44
INV000003,V0028,V0028-88574,2023-12-06,2023-12-10,2024-01-05,6003,CC910,USD,4031.08,3987.15,0.989101,279.58,40.31,1_10_NET30,OPEN,Security services - December,PO72236,d.johnson@company.com,2023-12-14,2023-12-10 11:05:25,2023-12-14 18:02:32
INV000004,V0165,V0165-75905,2025-06-24,2025-06-25,2025-08-08,5002,CC600,USD,25000.00,24672.88,0.986915,0.00,0.00,NET45,PAID,Consulting fees - June project,PO20271,g.brown@company.com,2025-06-27,2025-06-25 17:09:53,2025-06-27 16:16:20
INV000005,V0018,V0018-12406,2024-03-05,2024-03-09,2024-04-04,6002,CC401,KRW,957.48,0.73,0.000761,0.00,0.00,NET30,PAID,Software development services,PO64997,b.patel@company.com,2024-03-13,2024-03-09 09:09:36,2024-03-13 16:37:48
INV000006,V0026,V0026-14845,2025-02-26,2025-02-26,2025-03-28,6018,CC900,NOK,131476.31,12680.23,0.096445,8310.20,1314.76,1_10_NET30,OVERDUE,Temporary staffing services,PO14910,c.smith@company.com,2025-03-01,2025-02-26 13:09:39,2025-03-01 16:43:44
INV000007,V0128,V0128-44449,2023-05-02,2023-05-02,2023-06-01,6017,CC300,USD,1377.01,1398.88,1.015881,0.00,27.54,2_10_NET30,OPEN,Telecommunications services,PO74437,b.patel@company.com,2023-05-09,2023-05-02 10:08:19,2023-05-09 18:28:49
INV000008,V0087,V0087-96525,2024-05-03,2024-05-07,2024-07-02,6012,CC210,MXN,15486.86,911.59,0.058862,1089.63,0.00,NET60,VOID,Janitorial and facilities services,,a.chen@company.com,2024-05-12,2024-05-07 09:04:19,2024-05-12 18:32:25
INV000009,V0168,V0168-75537,2022-03-01,2022-03-02,2022-03-31,5005,CC210,USD,18030.49,18273.52,1.013479,0.00,0.00,NET30_EOM,PAID,Marketing services - March campaign,PO70846,g.brown@company.com,2022-03-08,2022-03-02 08:43:01,2022-03-08 10:23:31
INV000010,V0059,V0059-63204,2025-04-16,2025-04-20,2025-06-15,6000,CC201,USD,18798.51,19052.40,1.013506,0.00,187.99,1_10_NET60,PAID,Telecommunications services,PO16507,c.smith@company.com,2025-04-27,2025-04-20 16:49:13,2025-04-27 10:41:14
